Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Do., 05.Jan. 2012 01:00;0,23;0,43;0,34;0,24
Do., 05.Jan. 2012 01:15;0,22;0,44;0,33;0,24
Do., 05.Jan. 2012 01:30;0,25;0,43;0,36;0,25
Do., 05.Jan. 2012 01:45;0,24;0,48;0,37;0,26
Do., 05.Jan. 2012 02:00;0,26;0,46;0,37;0,27
Do., 05.Jan. 2012 02:15;0,25;0,46;0,37;0,26
Do., 05.Jan. 2012 02:30;0,22;0,44;0,34;0,24
Do., 05.Jan. 2012 02:45;0,23;0,43;0,33;0,24
Do., 05.Jan. 2012 03:00;0,25;0,43;0,35;0,25
Do., 05.Jan. 2012 03:15;0,25;0,48;0,37;0,27
Do., 05.Jan. 2012 03:30;0,23;0,46;0,36;0,25
Do., 05.Jan. 2012 03:45;0,22;0,55;0,39;0,28
Do., 05.Jan. 2012 04:00;0,23;0,45;0,36;0,25
Do., 05.Jan. 2012 04:15;0,24;0,43;0,35;0,25
Do., 05.Jan. 2012 04:30;0,28;0,44;0,37;0,27
