Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Sa., 09.Nov. 2013 15:45;0,32;0,66;0,5;0,36
Sa., 09.Nov. 2013 16:00;0,29;0,59;0,45;0,32
Sa., 09.Nov. 2013 16:15;0,28;0,59;0,44;0,32
Sa., 09.Nov. 2013 16:30;0,31;0,56;0,44;0,32
Sa., 09.Nov. 2013 16:45;0,28;0,55;0,43;0,31
Sa., 09.Nov. 2013 17:00;0,35;0,56;0,48;0,34
Sa., 09.Nov. 2013 17:15;0,31;0,57;0,46;0,33
Sa., 09.Nov. 2013 17:30;0,28;0,6;0,45;0,32
Sa., 09.Nov. 2013 17:45;0,27;0,59;0,44;0,31
Sa., 09.Nov. 2013 18:00;0,28;0,56;0,45;0,31
Sa., 09.Nov. 2013 18:15;0,4;0,57;0,5;0,37
Sa., 09.Nov. 2013 18:30;0,29;0,56;0,45;0,31
Sa., 09.Nov. 2013 18:45;0,28;0,55;0,44;0,31
Sa., 09.Nov. 2013 19:00;0,31;0,6;0,48;0,34
Sa., 09.Nov. 2013 19:15;0,35;0,68;0,55;0,38
Sa., 09.Nov. 2013 19:30;0,33;0,57;0,48;0,34
Sa., 09.Nov. 2013 19:45;0,32;0,56;0,45;0,33
Sa., 09.Nov. 2013 20:00;0,28;0,55;0,44;0,31
Sa., 09.Nov. 2013 20:15;0,28;0,59;0,45;0,32
Sa., 09.Nov. 2013 20:30;0,27;0,61;0,46;0,32
Sa., 09.Nov. 2013 20:45;0,29;0,59;0,45;0,32
Sa., 09.Nov. 2013 21:00;0,35;0,6;0,5;0,36
Sa., 09.Nov. 2013 21:15;0,28;0,56;0,44;0,31
Sa., 09.Nov. 2013 21:30;0,28;0,56;0,45;0,31
Sa., 09.Nov. 2013 21:45;0,29;0,55;0,45;0,31
Sa., 09.Nov. 2013 22:00;0,28;0,55;0,43;0,31
Sa., 09.Nov. 2013 22:15;0,37;0,59;0,48;0,36
Sa., 09.Nov. 2013 22:30;0,28;0,61;0,48;0,32
Sa., 09.Nov. 2013 22:45;0,27;0,59;0,44;0,31
Sa., 09.Nov. 2013 23:00;0,28;0,56;0,45;0,31
Sa., 09.Nov. 2013 23:15;0,29;0,56;0,45;0,31
Sa., 09.Nov. 2013 23:30;0,32;0,56;0,46;0,33
Sa., 09.Nov. 2013 23:45;0,39;0,56;0,48;0,36
So., 10.Nov. 2013 00:00;0,29;0,59;0,46;0,32
So., 10.Nov. 2013 00:15;0,29;0,59;0,45;0,32
So., 10.Nov. 2013 00:30;0,28;0,57;0,45;0,31
So., 10.Nov. 2013 00:45;0,31;0,57;0,45;0,33
So., 10.Nov. 2013 01:00;0,35;0,57;0,5;0,35
So., 10.Nov. 2013 01:15;0,28;0,68;0,5;0,34
So., 10.Nov. 2013 01:30;0,28;0,57;0,45;0,31
So., 10.Nov. 2013 01:45;0,28;0,6;0,45;0,32
So., 10.Nov. 2013 02:00;0,31;0,57;0,45;0,33
So., 10.Nov. 2013 02:15;0,32;0,56;0,46;0,33
So., 10.Nov. 2013 02:30;0,33;0,56;0,48;0,33
So., 10.Nov. 2013 02:45;0,28;0,57;0,45;0,31
So., 10.Nov. 2013 03:00;0,28;0,56;0,44;0,31
So., 10.Nov. 2013 03:15;0,31;0,59;0,46;0,33
So., 10.Nov. 2013 03:30;0,31;0,59;0,46;0,33
So., 10.Nov. 2013 03:45;0,32;0,59;0,46;0,34
So., 10.Nov. 2013 04:00;0,29;0,55;0,44;0,31
So., 10.Nov. 2013 04:15;0,28;0,56;0,43;0,31
So., 10.Nov. 2013 04:30;0,32;0,55;0,46;0,33
So., 10.Nov. 2013 04:45;0,31;0,61;0,48;0,34
So., 10.Nov. 2013 05:00;0,33;0,59;0,48;0,34
So., 10.Nov. 2013 05:15;0,32;0,59;0,48;0,34
So., 10.Nov. 2013 05:30;0,28;0,56;0,44;0,31
So., 10.Nov. 2013 05:45;0,29;0,55;0,43;0,31
So., 10.Nov. 2013 06:00;0,32;0,55;0,45;0,33
So., 10.Nov. 2013 06:15;0,32;0,61;0,48;0,34
So., 10.Nov. 2013 06:30;0,29;0,59;0,46;0,32
So., 10.Nov. 2013 06:45;0,28;0,71;0,5;0,35
So., 10.Nov. 2013 07:00;0,29;0,57;0,46;0,32
So., 10.Nov. 2013 07:15;0,31;0,55;0,45;0,32
So., 10.Nov. 2013 07:30;0,35;0,56;0,48;0,34
So., 10.Nov. 2013 07:45;0,29;0,59;0,45;0,32
So., 10.Nov. 2013 08:00;0,29;0,57;0,45;0,32
So., 10.Nov. 2013 08:15;0,28;0,59;0,45;0,32
So., 10.Nov. 2013 08:30;0,31;0,59;0,46;0,33
So., 10.Nov. 2013 08:45;0,35;0,56;0,48;0,34
So., 10.Nov. 2013 09:00;0,28;0,56;0,43;0,31
So., 10.Nov. 2013 09:15;0,28;0,55;0,43;0,31
So., 10.Nov. 2013 09:30;0,28;0,56;0,43;0,31
So., 10.Nov. 2013 09:45;0,29;0,6;0,46;0,33
So., 10.Nov. 2013 10:00;0,4;0,57;0,5;0,37
So., 10.Nov. 2013 10:15;0,29;0,6;0,48;0,33
So., 10.Nov. 2013 10:30;0,28;0,55;0,44;0,31
So., 10.Nov. 2013 10:45;0,32;0,56;0,46;0,33
So., 10.Nov. 2013 11:00;0,29;0,6;0,45;0,33
So., 10.Nov. 2013 11:15;0,31;0,6;0,46;0,34
So., 10.Nov. 2013 11:30;0,32;0,6;0,46;0,34
So., 10.Nov. 2013 11:45;0,28;0,59;0,44;0,32
So., 10.Nov. 2013 12:00;0,31;0,56;0,46;0,32
So., 10.Nov. 2013 12:15;0,65;0,57;0,61;0,5
So., 10.Nov. 2013 12:30;0,66;0,56;0,65;0,5
So., 10.Nov. 2013 12:45;0,68;0,57;0,66;0,51
So., 10.Nov. 2013 13:00;0,28;0,6;0,45;0,32
So., 10.Nov. 2013 13:15;0,28;0,59;0,45;0,32
So., 10.Nov. 2013 13:30;0,29;0,7;0,52;0,36
So., 10.Nov. 2013 13:45;0,31;0,56;0,45;0,32
So., 10.Nov. 2013 14:00;0,33;0,56;0,45;0,33
So., 10.Nov. 2013 14:15;0,28;0,56;0,45;0,31
So., 10.Nov. 2013 14:30;0,31;0,61;0,48;0,34
So., 10.Nov. 2013 14:45;0,33;0,6;0,5;0,35
So., 10.Nov. 2013 15:00;0,32;0,59;0,48;0,34
So., 10.Nov. 2013 15:15;0,39;0,57;0,51;0,37
So., 10.Nov. 2013 15:30;0,31;0,56;0,45;0,32
So., 10.Nov. 2013 15:45;0,29;0,6;0,46;0,33
So., 10.Nov. 2013 16:00;0,28;0,57;0,45;0,31
So., 10.Nov. 2013 16:15;0,35;0,6;0,48;0,36
So., 10.Nov. 2013 16:30;0,74;0,61;0,7;0,55
So., 10.Nov. 2013 16:45;0,56;0,59;0,59;0,46
So., 10.Nov. 2013 17:00;0,39;0,56;0,48;0,36
So., 10.Nov. 2013 17:15;0,61;0,56;0,59;0,47
So., 10.Nov. 2013 17:30;0,74;0,56;0,67;0,54
So., 10.Nov. 2013 17:45;0,61;0,59;0,65;0,48
So., 10.Nov. 2013 18:00;0,6;0,59;0,61;0,48
So., 10.Nov. 2013 18:15;0,65;0,6;0,66;0,51
So., 10.Nov. 2013 18:30;0,82;0,56;0,71;0,58
So., 10.Nov. 2013 18:45;0,81;0,6;0,73;0,59
So., 10.Nov. 2013 19:00;0,78;0,56;0,71;0,56
So., 10.Nov. 2013 19:15;0,76;0,56;0,67;0,55
So., 10.Nov. 2013 19:30;0,76;0,6;0,72;0,56
So., 10.Nov. 2013 19:45;0,81;0,6;0,74;0,59
So., 10.Nov. 2013 20:00;0,59;0,68;0,67;0,5
So., 10.Nov. 2013 20:15;0,31;0,56;0,44;0,32
So., 10.Nov. 2013 20:30;0,28;0,61;0,45;0,32
So., 10.Nov. 2013 20:45;0,27;0,56;0,44;0,3
So., 10.Nov. 2013 21:00;0,28;0,59;0,46;0,32
So., 10.Nov. 2013 21:15;0,33;0,59;0,46;0,34
So., 10.Nov. 2013 21:30;0,31;0,59;0,46;0,33
So., 10.Nov. 2013 21:45;0,27;0,59;0,45;0,31
So., 10.Nov. 2013 22:00;0,28;0,55;0,44;0,31
So., 10.Nov. 2013 22:15;0,22;0,56;0,4;0,28
So., 10.Nov. 2013 22:30;0,26;0,55;0,41;0,3
So., 10.Nov. 2013 22:45;0,22;0,59;0,41;0,29
So., 10.Nov. 2013 23:00;0,2;0,59;0,4;0,28
So., 10.Nov. 2013 23:15;0,18;0,59;0,41;0,27
So., 10.Nov. 2013 23:30;0,18;0,55;0,4;0,26
So., 10.Nov. 2013 23:45;0,22;0,59;0,41;0,29
Mo., 11.Nov. 2013 00:00;0,27;0,56;0,44;0,3
Mo., 11.Nov. 2013 00:15;0,23;0,56;0,41;0,28
Mo., 11.Nov. 2013 00:30;0,22;0,59;0,43;0,29
Mo., 11.Nov. 2013 00:45;0,2;0,59;0,41;0,28
Mo., 11.Nov. 2013 01:00;0,2;0,57;0,4;0,27
Mo., 11.Nov. 2013 01:15;0,27;0,56;0,43;0,3
Mo., 11.Nov. 2013 01:30;0,2;0,59;0,43;0,28
Mo., 11.Nov. 2013 01:45;0,18;0,6;0,41;0,27
Mo., 11.Nov. 2013 02:00;0,2;0,59;0,4;0,28
Mo., 11.Nov. 2013 02:15;0,2;0,59;0,41;0,28
Mo., 11.Nov. 2013 02:30;0,23;0,68;0,45;0,32
Mo., 11.Nov. 2013 02:45;0,26;0,56;0,43;0,3
Mo., 11.Nov. 2013 03:00;0,23;0,56;0,43;0,28
Mo., 11.Nov. 2013 03:15;0,2;0,55;0,39;0,27
Mo., 11.Nov. 2013 03:30;0,2;0,57;0,4;0,27
Mo., 11.Nov. 2013 03:45;0,31;0,59;0,46;0,33
Mo., 11.Nov. 2013 04:00;0,26;0,59;0,45;0,31
Mo., 11.Nov. 2013 04:15;0,2;0,59;0,4;0,28
Mo., 11.Nov. 2013 04:30;0,23;0,59;0,43;0,29
Mo., 11.Nov. 2013 04:45;0,2;0,55;0,4;0,27
Mo., 11.Nov. 2013 05:00;0,23;0,56;0,41;0,28
Mo., 11.Nov. 2013 05:15;0,27;0,57;0,44;0,31
Mo., 11.Nov. 2013 05:30;0,18;0,59;0,4;0,27
Mo., 11.Nov. 2013 05:45;0,2;0,59;0,4;0,28
Mo., 11.Nov. 2013 06:00;0,18;0,56;0,39;0,26
Mo., 11.Nov. 2013 06:15;0,23;0,6;0,44;0,3
Mo., 11.Nov. 2013 06:30;0,24;0,55;0,4;0,29
Mo., 11.Nov. 2013 06:45;0,24;0,57;0,43;0,29
Mo., 11.Nov. 2013 07:00;0,18;0,61;0,43;0,27
Mo., 11.Nov. 2013 07:15;0,2;0,6;0,43;0,28
Mo., 11.Nov. 2013 07:30;0,22;0,57;0,41;0,28
Mo., 11.Nov. 2013 07:45;0,22;0,55;0,4;0,28
Mo., 11.Nov. 2013 08:00;0,24;0,56;0,41;0,29
Mo., 11.Nov. 2013 08:15;0,2;0,55;0,4;0,27
Mo., 11.Nov. 2013 08:30;0,2;0,68;0,44;0,3
Mo., 11.Nov. 2013 08:45;0,22;0,59;0,43;0,29
Mo., 11.Nov. 2013 09:00;0,24;0,59;0,44;0,3
Mo., 11.Nov. 2013 09:15;0,33;0,56;0,46;0,33
Mo., 11.Nov. 2013 09:30;0,32;0,55;0,46;0,33
Mo., 11.Nov. 2013 09:45;0,28;0,56;0,44;0,31
Mo., 11.Nov. 2013 10:00;0,29;0,71;0,52;0,36
Mo., 11.Nov. 2013 10:15;0,31;0,78;0,56;0,39
Mo., 11.Nov. 2013 10:30;0,33;0,82;0,6;0,41
Mo., 11.Nov. 2013 10:45;0,76;1,12;0,96;0,72
Mo., 11.Nov. 2013 11:00;0,98;1,17;1,09;0,84
Mo., 11.Nov. 2013 11:15;1,29;1,46;1,44;1,08
Mo., 11.Nov. 2013 11:30;1,31;1,84;1,6;1,21
Mo., 11.Nov. 2013 11:45;1,28;2,34;1,93;1,34
Mo., 11.Nov. 2013 12:00;1,45;2,48;2,09;1,47
Mo., 11.Nov. 2013 12:15;1,6;2,79;2,22;1,64
Mo., 11.Nov. 2013 12:30;2,12;2,89;2,57;1,93
Mo., 11.Nov. 2013 12:45;2,2;3,05;2,66;2,02
Mo., 11.Nov. 2013 13:00;1,94;3,04;2,61;1,88
Mo., 11.Nov. 2013 13:15;1,99;3,05;2,54;1,91
Mo., 11.Nov. 2013 13:30;1,99;2,81;2,4;1,84
Mo., 11.Nov. 2013 13:45;1,77;2,56;2,2;1,65
Mo., 11.Nov. 2013 14:00;1,5;2,56;2,1;1,52
Mo., 11.Nov. 2013 14:15;1,45;2,45;1,98;1,46
Mo., 11.Nov. 2013 14:30;1,57;2,59;2,11;1,56
Mo., 11.Nov. 2013 14:45;1,46;2,55;2,05;1,5
Mo., 11.Nov. 2013 15:00;1,7;2,81;2,34;1,69
Mo., 11.Nov. 2013 15:15;1,84;2,55;2,21;1,69
Mo., 11.Nov. 2013 15:30;1,88;2,42;2,27;1,67
Mo., 11.Nov. 2013 15:45;1,99;2,4;2,31;1,72
Mo., 11.Nov. 2013 16:00;1,51;2,61;2,07;1,54
Mo., 11.Nov. 2013 16:15;1,62;2,4;2,11;1,53
Mo., 11.Nov. 2013 16:30;1,5;2,51;2,07;1,5
Mo., 11.Nov. 2013 16:45;1,62;2,48;2,1;1,55
Mo., 11.Nov. 2013 17:00;1,51;2,7;2,12;1,57
Mo., 11.Nov. 2013 17:15;1,53;2,48;2,11;1,51
Mo., 11.Nov. 2013 17:30;1,56;2,4;2;1,5
Mo., 11.Nov. 2013 17:45;1,57;2,34;1,99;1,49
Mo., 11.Nov. 2013 18:00;1,55;2,31;1,99;1,47
Mo., 11.Nov. 2013 18:15;1,51;2,26;1,93;1,43
Mo., 11.Nov. 2013 18:30;1,54;2,34;1,95;1,47
Mo., 11.Nov. 2013 18:45;1,56;2,33;2,07;1,48
Mo., 11.Nov. 2013 19:00;1,56;2,42;2,09;1,51
Mo., 11.Nov. 2013 19:15;1,59;2,31;2,06;1,49
Mo., 11.Nov. 2013 19:30;1,32;2,27;1,9;1,34
Mo., 11.Nov. 2013 19:45;1,31;2,22;1,82;1,32
Mo., 11.Nov. 2013 20:00;0,94;1,93;1,43;1,05
Mo., 11.Nov. 2013 20:15;0,48;1,65;1,11;0,74
Mo., 11.Nov. 2013 20:30;0,52;1,74;1,13;0,78
Mo., 11.Nov. 2013 20:45;0,46;1,56;1,06;0,7
Mo., 11.Nov. 2013 21:00;0,59;1,45;1,09;0,73
Mo., 11.Nov. 2013 21:15;0,85;1,13;1,06;0,76
Mo., 11.Nov. 2013 21:30;0,31;0,9;0,65;0,43
Mo., 11.Nov. 2013 21:45;0,32;0,72;0,54;0,38
Mo., 11.Nov. 2013 22:00;0,76;1,32;1,07;0,78
Mo., 11.Nov. 2013 22:15;0,26;0,66;0,48;0,33
Mo., 11.Nov. 2013 22:30;0,5;0,68;0,59;0,45
Mo., 11.Nov. 2013 22:45;0,57;0,7;0,66;0,5
Mo., 11.Nov. 2013 23:00;0,61;0,68;0,66;0,51
Mo., 11.Nov. 2013 23:15;0,23;0,66;0,45;0,31
Mo., 11.Nov. 2013 23:30;0,28;0,66;0,46;0,34
Mo., 11.Nov. 2013 23:45;0,26;0,65;0,46;0,33
Di., 12.Nov. 2013 00:00;0,22;0,72;0,48;0,33
Di., 12.Nov. 2013 00:15;0,23;0,68;0,46;0,32
Di., 12.Nov. 2013 00:30;0,22;0,71;0,46;0,32
Di., 12.Nov. 2013 00:45;0,23;0,7;0,48;0,33
Di., 12.Nov. 2013 01:00;0,29;0,65;0,46;0,34
Di., 12.Nov. 2013 01:15;0,22;0,66;0,45;0,31
Di., 12.Nov. 2013 01:30;0,22;0,65;0,43;0,31
Di., 12.Nov. 2013 01:45;0,23;0,67;0,45;0,32
Di., 12.Nov. 2013 02:00;0,26;0,7;0,51;0,34
Di., 12.Nov. 2013 02:15;0,26;0,68;0,48;0,33
Di., 12.Nov. 2013 02:30;0,28;0,67;0,48;0,34
Di., 12.Nov. 2013 02:45;0,22;0,68;0,45;0,31
Di., 12.Nov. 2013 03:00;0,26;0,65;0,46;0,33
Di., 12.Nov. 2013 03:15;0,24;0,74;0,52;0,34
Di., 12.Nov. 2013 03:30;0,24;0,67;0,45;0,32
Di., 12.Nov. 2013 03:45;0,27;0,7;0,48;0,35
Di., 12.Nov. 2013 04:00;0,23;0,68;0,46;0,32
Di., 12.Nov. 2013 04:15;0,22;0,67;0,46;0,31
Di., 12.Nov. 2013 04:30;0,26;0,66;0,48;0,33
Di., 12.Nov. 2013 04:45;0,24;0,66;0,45;0,32
Di., 12.Nov. 2013 05:00;0,26;0,66;0,46;0,33
Di., 12.Nov. 2013 05:15;0,27;0,78;0,52;0,37
Di., 12.Nov. 2013 05:30;0,22;0,68;0,45;0,31
Di., 12.Nov. 2013 05:45;0,23;0,68;0,46;0,32
Di., 12.Nov. 2013 06:00;0,26;0,65;0,46;0,33
Di., 12.Nov. 2013 06:15;0,22;0,66;0,44;0,31
Di., 12.Nov. 2013 06:30;0,26;0,65;0,46;0,33
Di., 12.Nov. 2013 06:45;0,22;0,68;0,46;0,31
Di., 12.Nov. 2013 07:00;0,23;0,7;0,46;0,33
Di., 12.Nov. 2013 07:15;0,24;0,68;0,46;0,32
Di., 12.Nov. 2013 07:30;0,22;0,66;0,45;0,31
Di., 12.Nov. 2013 07:45;0,31;0,68;0,51;0,36
Di., 12.Nov. 2013 08:00;0,22;0,65;0,45;0,31
Di., 12.Nov. 2013 08:15;0,26;0,66;0,45;0,33
Di., 12.Nov. 2013 08:30;0,32;0,68;0,54;0,36
Di., 12.Nov. 2013 08:45;0,23;0,68;0,46;0,32
Di., 12.Nov. 2013 09:00;0,22;0,68;0,45;0,31
Di., 12.Nov. 2013 09:15;0,33;0,72;0,55;0,38
Di., 12.Nov. 2013 09:30;0,31;0,66;0,5;0,35
Di., 12.Nov. 2013 09:45;0,33;0,68;0,51;0,37
Di., 12.Nov. 2013 10:00;0,31;0,79;0,57;0,39
Di., 12.Nov. 2013 10:15;0,31;0,81;0,57;0,4
Di., 12.Nov. 2013 10:30;0,73;0,83;0,82;0,61
Di., 12.Nov. 2013 10:45;0,83;1;0,95;0,72
Di., 12.Nov. 2013 11:00;1,01;1,44;1,27;0,94
Di., 12.Nov. 2013 11:15;1,24;1,38;1,31;1,03
Di., 12.Nov. 2013 11:30;1,53;1,6;1,57;1,25
Di., 12.Nov. 2013 11:45;1,31;1,85;1,68;1,21
Di., 12.Nov. 2013 12:00;1,31;2,39;1,96;1,37
Di., 12.Nov. 2013 12:15;1,34;2,55;2,06;1,44
Di., 12.Nov. 2013 12:30;1,77;2,44;2,15;1,62
Di., 12.Nov. 2013 12:45;1,37;2,33;1,9;1,38
Di., 12.Nov. 2013 13:00;1,37;2,28;1,93;1,37
Di., 12.Nov. 2013 13:15;1,37;2,37;1,98;1,4
Di., 12.Nov. 2013 13:30;1,59;2,38;2,06;1,51
Di., 12.Nov. 2013 13:45;1,43;2,28;1,95;1,4
Di., 12.Nov. 2013 14:00;1,6;2,42;2,03;1,53
Di., 12.Nov. 2013 14:15;1,5;2,45;2,05;1,49
Di., 12.Nov. 2013 14:30;1,55;2,31;2;1,47
Di., 12.Nov. 2013 14:45;1,6;2,61;2,15;1,58
Di., 12.Nov. 2013 15:00;1,42;2,42;1,94;1,44
Di., 12.Nov. 2013 15:15;1,11;2,28;1,73;1,24
Di., 12.Nov. 2013 15:30;1,42;2,21;1,9;1,37
Di., 12.Nov. 2013 15:45;1,55;2,05;1,81;1,39
Di., 12.Nov. 2013 16:00;1,65;2,31;2,09;1,52
Di., 12.Nov. 2013 16:15;1,55;2,33;2,06;1,47
Di., 12.Nov. 2013 16:30;1,39;2,12;1,83;1,33
Di., 12.Nov. 2013 16:45;1,5;2,48;2,06;1,49
Di., 12.Nov. 2013 17:00;1,5;2,14;1,9;1,39
Di., 12.Nov. 2013 17:15;1,54;3;2,37;1,67
Di., 12.Nov. 2013 17:30;1,42;2,84;2,26;1,56
Di., 12.Nov. 2013 17:45;1,63;2,53;2,16;1,57
Di., 12.Nov. 2013 18:00;1,55;2,51;2,1;1,53
Di., 12.Nov. 2013 18:15;1,45;2,56;2,12;1,49
Di., 12.Nov. 2013 18:30;1,55;2,81;2,29;1,62
Di., 12.Nov. 2013 18:45;1,55;2,24;1,94;1,45
Di., 12.Nov. 2013 19:00;1,5;2,2;1,93;1,41
Di., 12.Nov. 2013 19:15;1,46;2,01;1,82;1,33
Di., 12.Nov. 2013 19:30;1,37;1,94;1,68;1,27
Di., 12.Nov. 2013 19:45;1,24;1,84;1,6;1,17
Di., 12.Nov. 2013 20:00;1,04;1,87;1,54;1,08
Di., 12.Nov. 2013 20:15;1,02;1,6;1,38;0,99
Di., 12.Nov. 2013 20:30;0,99;1,32;1,18;0,89
Di., 12.Nov. 2013 20:45;0,33;1,1;0,76;0,5
Di., 12.Nov. 2013 21:00;0,37;0,85;0,66;0,44
Di., 12.Nov. 2013 21:15;0,29;0,78;0,55;0,38
Di., 12.Nov. 2013 21:30;0,85;0,73;0,82;0,64
Di., 12.Nov. 2013 21:45;0,5;0,72;0,65;0,47
Di., 12.Nov. 2013 22:00;0,4;0,88;0,67;0,46
Di., 12.Nov. 2013 22:15;1,13;1,01;1,11;0,87
Di., 12.Nov. 2013 22:30;0,65;0,82;0,76;0,57
Di., 12.Nov. 2013 22:45;0,26;0,95;0,61;0,42
Di., 12.Nov. 2013 23:00;0,82;1,12;1,02;0,75
Di., 12.Nov. 2013 23:15;0,41;0,7;0,57;0,42
Di., 12.Nov. 2013 23:30;0,23;0,68;0,46;0,32
Di., 12.Nov. 2013 23:45;0,24;0,67;0,46;0,32
Mi., 13.Nov. 2013 00:00;0,22;0,71;0,48;0,32
Mi., 13.Nov. 2013 00:15;0,26;0,68;0,48;0,33
Mi., 13.Nov. 2013 00:30;0,24;0,72;0,5;0,34
Mi., 13.Nov. 2013 00:45;0,22;0,71;0,5;0,32
Mi., 13.Nov. 2013 01:00;0,31;0,74;0,54;0,38
Mi., 13.Nov. 2013 01:15;0,27;0,68;0,5;0,34
Mi., 13.Nov. 2013 01:30;0,24;0,67;0,46;0,32
Mi., 13.Nov. 2013 01:45;0,24;0,67;0,45;0,32
Mi., 13.Nov. 2013 02:00;0,22;0,68;0,45;0,31
Mi., 13.Nov. 2013 02:15;0,23;0,71;0,5;0,33
Mi., 13.Nov. 2013 02:30;0,26;0,73;0,51;0,35
Mi., 13.Nov. 2013 02:45;0,26;0,71;0,5;0,34
Mi., 13.Nov. 2013 03:00;0,24;0,68;0,48;0,32
Mi., 13.Nov. 2013 03:15;0,22;0,67;0,44;0,31
Mi., 13.Nov. 2013 03:30;0,28;0,66;0,46;0,34
Mi., 13.Nov. 2013 03:45;0,26;0,65;0,45;0,33
Mi., 13.Nov. 2013 04:00;0,27;0,68;0,48;0,34
Mi., 13.Nov. 2013 04:15;0,22;0,7;0,46;0,32
Mi., 13.Nov. 2013 04:30;0,23;0,67;0,46;0,32
Mi., 13.Nov. 2013 04:45;0,23;0,7;0,46;0,33
Mi., 13.Nov. 2013 05:00;0,28;0,66;0,48;0,34
Mi., 13.Nov. 2013 05:15;0,27;0,68;0,48;0,34
Mi., 13.Nov. 2013 05:30;0,23;0,66;0,45;0,31
Mi., 13.Nov. 2013 05:45;0,22;0,61;0,43;0,29
Mi., 13.Nov. 2013 06:00;0,24;0,6;0,43;0,3
Mi., 13.Nov. 2013 06:15;0,26;0,71;0,48;0,34
Mi., 13.Nov. 2013 06:30;0,22;0,71;0,46;0,32
Mi., 13.Nov. 2013 06:45;0,28;0,68;0,48;0,34
Mi., 13.Nov. 2013 07:00;0,22;0,66;0,44;0,31
Mi., 13.Nov. 2013 07:15;0,23;0,73;0,51;0,33
Mi., 13.Nov. 2013 07:30;0,29;0,67;0,51;0,35
Mi., 13.Nov. 2013 07:45;0,23;0,67;0,45;0,32
Mi., 13.Nov. 2013 08:00;0,28;0,7;0,51;0,35
Mi., 13.Nov. 2013 08:15;0,26;0,68;0,48;0,33
Mi., 13.Nov. 2013 08:30;0,22;0,68;0,45;0,31
Mi., 13.Nov. 2013 08:45;0,26;0,65;0,46;0,33
Mi., 13.Nov. 2013 09:00;0,23;0,66;0,45;0,31
Mi., 13.Nov. 2013 09:15;0,31;0,72;0,54;0,37
Mi., 13.Nov. 2013 09:30;0,35;0,7;0,55;0,39
Mi., 13.Nov. 2013 09:45;0,31;0,71;0,51;0,37
Mi., 13.Nov. 2013 10:00;0,33;0,81;0,57;0,41
Mi., 13.Nov. 2013 10:15;0,32;0,76;0,55;0,39
Mi., 13.Nov. 2013 10:30;0,43;0,94;0,71;0,5
Mi., 13.Nov. 2013 10:45;0,94;1,23;1,12;0,84
Mi., 13.Nov. 2013 11:00;1,32;1,31;1,35;1,05
Mi., 13.Nov. 2013 11:15;1,43;1,46;1,45;1,15
Mi., 13.Nov. 2013 11:30;1,13;1,65;1,45;1,06
Mi., 13.Nov. 2013 11:45;1,31;2,16;1,85;1,3
Mi., 13.Nov. 2013 12:00;1,34;2,15;1,83;1,32
Mi., 13.Nov. 2013 12:15;1,39;2,35;1,87;1,4
Mi., 13.Nov. 2013 12:30;1,85;2,42;2,23;1,65
Mi., 13.Nov. 2013 12:45;1,71;2,39;2,11;1,57
Mi., 13.Nov. 2013 13:00;1,55;2,56;2,21;1,54
Mi., 13.Nov. 2013 13:15;1,65;2,4;2,1;1,55
Mi., 13.Nov. 2013 13:30;1,57;2,45;2,03;1,52
Mi., 13.Nov. 2013 13:45;1,6;2,23;2,01;1,47
Mi., 13.Nov. 2013 14:00;1,59;2,59;2,11;1,57
Mi., 13.Nov. 2013 14:15;1,62;2,12;1,9;1,45
Mi., 13.Nov. 2013 14:30;1,5;2,21;1,87;1,41
Mi., 13.Nov. 2013 14:45;1,62;2,14;1,98;1,45
Mi., 13.Nov. 2013 15:00;1,44;2,34;1,99;1,42
Mi., 13.Nov. 2013 15:15;1,31;1,96;1,65;1,24
Mi., 13.Nov. 2013 15:30;1,73;2,22;2,07;1,53
Mi., 13.Nov. 2013 15:45;1,71;2,16;2,01;1,5
Mi., 13.Nov. 2013 16:00;1,73;1,99;1,95;1,46
Mi., 13.Nov. 2013 16:15;1,55;2,27;1,95;1,46
Mi., 13.Nov. 2013 16:30;1,57;2,09;1,93;1,41
Mi., 13.Nov. 2013 16:45;1,54;2,06;1,87;1,39
Mi., 13.Nov. 2013 17:00;1,56;2,16;1,9;1,43
Mi., 13.Nov. 2013 17:15;1,59;2,11;1,94;1,43
Mi., 13.Nov. 2013 17:30;1,67;1,98;1,9;1,43
Mi., 13.Nov. 2013 17:45;1,54;2,09;1,84;1,4
Mi., 13.Nov. 2013 18:00;1,67;2,33;2,03;1,53
Mi., 13.Nov. 2013 18:15;1,78;2,15;2,06;1,54
Mi., 13.Nov. 2013 18:30;1,7;2,03;1,98;1,46
Mi., 13.Nov. 2013 18:45;1,26;2,11;1,77;1,26
Mi., 13.Nov. 2013 19:00;1,1;2,07;1,6;1,17
Mi., 13.Nov. 2013 19:15;1;1,99;1,51;1,1
Mi., 13.Nov. 2013 19:30;0,93;1,84;1,43;1,02
Mi., 13.Nov. 2013 19:45;0,88;1,24;1,09;0,81
Mi., 13.Nov. 2013 20:00;0,79;1,1;0,98;0,73
Mi., 13.Nov. 2013 20:15;0,83;0,96;0,95;0,7
Mi., 13.Nov. 2013 20:30;0,45;0,93;0,72;0,5
Mi., 13.Nov. 2013 20:45;0,95;0,78;0,88;0,71
Mi., 13.Nov. 2013 21:00;0,31;0,67;0,5;0,36
Mi., 13.Nov. 2013 21:15;1,46;0,61;1,11;0,91
